Emission Date,Refining of mineral oil,Metal ore roasting or sintering,Production or processing of ferrous metals,Production of Pig iron or steel,Production or processing of non-ferrous metals,Primary aluminum production,Secondary aluminum production,Production of cement clinker,Production of lime or calcination of dolomite/magnesite,Manufacture of glass,Ceramic production,Mineral wool manufacturing,Production or processing of gypsum or plasterboard,Production of pulp,Paper or cardboard,Production of Carbon black,Production of coke oven,Production of Nitric acid,Production of Adipic acid,Production of Bulk chemicals,Production of Soda ash and sodium bicarbonate,Production of Hydrogen and synthesis gas
2021-10-10,252402,6069,18498,263494,14206,11355,2662,252964,60123,39795,34912,4378,2691,10629,43925,3981,12661,8401,258,72965,10193,19082
2021-10-11,253165,6318,19302,266283,14444,11570,2627,258736,61793,39710,33754,4300,2694,10874,44991,4154,12649,8704,268,75426,10574,19792
2021-10-12,348692,9081,27820,370054,20217,16234,3547,364642,87568,54355,44403,5772,3703,15327,63510,5988,17338,12447,384,107590,15144,28338
2021-10-13,347083,8783,26858,366124,19906,15958,3579,357372,85504,54333,45607,5847,3691,15020,62176,5780,17314,12080,372,104594,14683,27479
2021-10-14,311788,7351,22374,324221,17424,13911,3315,309294,73322,49289,43930,5466,3328,12995,53666,4815,15673,10201,313,88706,12368,23157
2021-10-15,355537,9044,27664,375446,20431,16383,3657,367094,87889,55615,46461,5971,3780,15429,63880,5954,17726,12431,383,107596,15111,28281
2021-10-16,355328,9135,27961,376060,20501,16449,3637,368977,88461,55496,45905,5930,3776,15508,64234,6018,17694,12540,387,108472,15250,28538
2021-10-17,293638,7444,22765,309861,16852,13511,3025,302630,72423,45955,38512,4942,3123,12719,52656,4900,14645,10236,315,88617,12442,23285
2021-10-18,262220,6457,19710,275055,14887,11916,2737,266100,63442,41208,35438,4488,2793,11182,46248,4242,13120,8911,274,77278,10820,20254
2021-10-19,340193,8572,26205,358536,19480,15612,3514,349476,83569,53287,44904,5746,3619,14687,60792,5640,16979,11796,363,102159,14335,26830
2021-10-20,302579,6967,21172,313202,16768,13370,3249,296531,70079,47982,43547,5370,3233,12458,51405,4556,15247,9699,297,84463,11748,22001
2021-10-21,298664,6841,20778,308832,16520,13168,3214,291896,68935,47394,43185,5315,3192,12263,50591,4471,15058,9529,292,83012,11540,21612
2021-10-22,301412,7016,21334,312644,16767,13377,3222,297021,70294,47730,42967,5320,3219,12479,51511,4591,15171,9752,299,84868,11817,22129
2021-10-23,322767,8000,24433,339024,18370,14708,3359,328695,78432,50676,43330,5504,3436,13813,57142,5258,16138,11032,339,95637,13399,25080
2021-10-24,256941,6164,18782,268104,14449,11547,2712,257190,61109,40524,35621,4462,2740,10807,44655,4042,12892,8535,262,74132,10353,19383
2021-10-25,247803,5879,17901,258001,13879,11085,2628,246615,58511,39141,34714,4330,2644,10362,42801,3852,12448,8152,250,70857,9885,18508
2021-10-26,304611,7349,22402,318205,17165,13722,3208,305810,72715,48005,42001,5274,3248,12850,53108,4821,15275,10168,312,88291,12338,23097
2021-10-27,299901,6905,20983,310426,16619,13251,3220,293898,69456,47558,43164,5323,3205,12347,50949,4515,15112,9613,294,83711,11644,21805
2021-10-28,296979,6845,20802,307465,16464,13128,3187,291194,68827,47088,42703,5268,3173,12234,50482,4476,14963,9528,292,82967,11541,21613
2021-10-29,301394,7025,21365,312711,16775,13384,3220,297220,70354,47718,42910,5316,3219,12487,51549,4598,15168,9764,299,84959,11832,22155
2021-10-30,282565,6470,19650,292163,15628,12456,3041,276109,65203,44841,40871,5030,3020,11600,47854,4228,14246,9013,276,78514,10915,20440
2021-10-31,251080,6020,18344,261963,14117,11282,2651,251260,59696,39602,34824,4362,2678,10558,43625,3948,12599,8336,256,72413,10113,18933
2021-11-01,223817,5128,15576,231574,12307,9873,2410,217613,51390,35541,31278,3986,2394,9194,37931,3352,11276,7144,219,62235,8652,16202
2021-11-02,260298,5608,16958,266236,14013,11203,2869,245378,57477,41652,38263,4777,2792,10365,42670,3649,13193,7879,240,68911,9519,17834
2021-11-03,292522,6819,20738,303673,16183,12996,3128,286945,67917,46347,40259,5164,3126,12124,50049,4463,14712,9478,290,82478,11486,21507
2021-11-04,323297,7827,23866,338143,18131,14592,3403,323433,76934,50963,42951,5592,3449,13668,56496,5136,16195,10826,332,93990,13138,24595
2021-11-05,325109,7819,23831,339589,18189,14633,3432,324122,77031,51295,43467,5644,3469,13697,56602,5128,16297,10824,332,94011,13132,24585
2021-11-06,309574,7359,22408,322606,17246,13865,3284,306746,72790,48922,41853,5409,3305,12962,53543,4822,15538,10202,313,88669,12372,23163
2021-11-07,256423,6036,18367,266701,14235,11438,2731,252791,59909,40576,34983,4504,2739,10682,44109,3953,12883,8378,257,72865,10157,19018
2021-11-08,247723,6077,18545,259786,13960,11243,2592,249545,59460,38979,32490,4254,2641,10546,43611,3991,12392,8391,258,72792,10188,19070
2021-11-09,328744,8305,25391,346835,18728,15109,3395,336365,80454,51514,41842,5550,3499,14217,58850,5465,16392,11426,352,98941,13886,25989
2021-11-10,346576,8888,27201,366801,19856,16033,3555,357490,85673,54189,43406,5798,3686,15111,62582,5854,17251,12206,376,105603,14842,27776
2021-11-11,331217,8451,25854,350167,18940,15288,3405,340703,81596,51827,41714,5558,3523,14401,59631,5564,16497,11612,358,100498,14118,26421
2021-11-12,312516,7533,22961,326577,17498,14079,3296,311923,74153,49294,41697,5419,3334,13182,54476,4941,15662,10425,320,90529,12648,23680
2021-11-13,305541,7266,22126,318428,17024,13686,3241,302811,71860,48282,41292,5337,3262,12796,52857,4761,15335,10072,309,87541,12215,22870
2021-11-14,249509,5809,17665,258957,13798,11079,2669,244594,57884,39539,34378,4408,2667,10335,42661,3801,12550,8076,247,70279,9786,18324
2021-11-15,238620,5394,16369,246256,13059,10469,2583,230422,54318,37957,33734,4279,2554,9735,40143,3522,12038,7528,230,65638,9112,17066
2021-11-16,290702,6661,20233,300783,15985,12824,3130,282657,66751,46162,40622,5178,3109,11942,49269,4354,14646,9280,284,80838,11238,21046
2021-11-17,299696,6931,21067,310643,16534,13271,3215,292789,69228,47533,41538,5312,3204,12371,51053,4533,15085,9644,295,83964,11683,21879
2021-11-18,293757,6731,20444,303938,16153,12958,3163,285613,67448,46647,41052,5232,3142,12067,49784,4399,14800,9376,287,81682,11355,21265
2021-11-19,292337,6534,19811,301045,15936,12766,3179,280676,66066,46569,41725,5272,3131,11858,48877,4263,14764,9133,279,79686,11050,20697
2021-11-20,342280,8486,25914,359721,19364,15605,3565,346730,82731,53778,44419,5842,3647,14654,60620,5577,17102,11702,360,101446,14212,26603
2021-11-21,271360,6294,19135,281432,14986,12031,2908,265505,62801,43022,37513,4803,2901,11218,46301,4118,13654,8754,268,76204,10607,19862
2021-11-22,261240,6166,18766,271855,14517,11665,2779,257899,61141,41323,35552,4582,2790,10898,45005,4038,13122,8556,262,74395,10373,19422
2021-11-23,344189,8508,25975,361506,19450,15672,3590,348111,83028,54101,44802,5885,3668,14712,60854,5590,17203,11736,361,101763,14253,26679
2021-11-24,354481,8821,26945,372829,20082,16187,3686,359804,85892,55666,45827,6037,3776,15207,62914,5799,17704,12159,374,105384,14769,27644
2021-11-25,378228,9671,29593,400053,21646,17475,3885,389522,93314,59164,47522,6339,4023,16465,68181,6369,18833,13286,410,114970,16154,30231
2021-11-26,390725,10072,30836,413979,22430,18117,3998,404161,96923,61045,48659,6516,4154,17084,70766,6637,19437,13824,426,119565,16812,31462
2021-11-27,379199,9748,29837,401528,21745,17561,3885,391642,93887,59269,47369,6335,4032,16555,68566,6422,18870,13383,413,115770,16274,30456
2021-11-28,319959,8124,24847,337925,18263,14738,3297,328271,78569,50100,40505,5385,3405,13875,57445,5348,15945,11170,344,96699,13578,25411
2021-11-29,320363,8321,25486,339970,18443,14903,3266,332729,79870,49997,39566,5318,3405,14065,58275,5485,15923,11410,352,98641,13880,25973
2021-11-30,365842,9120,27861,384919,20739,16718,3801,371686,88749,57435,47210,6224,3897,15709,64997,5996,18268,12568,387,108919,15267,28576
2021-12-01,366383,9343,28582,387478,20929,16913,3771,386715,92602,57371,46381,6169,3900,15930,65958,6151,18249,12840,396,111131,15610,29214
2021-12-02,377165,9616,29417,398867,21543,17410,3882,398060,95317,59061,47755,6351,4015,16397,67893,6331,18786,13216,407,114386,16067,30069
2021-12-03,346345,8338,25412,362006,19368,15600,3657,354592,84277,54674,46473,6027,3698,14603,60347,5469,17360,11542,354,100241,14003,26216
2021-12-04,343193,8343,25444,359412,19260,15522,3609,353161,84044,54105,45620,5940,3662,14545,60126,5476,17184,11534,354,100116,13999,26206
2021-12-05,309277,7692,23494,325398,17503,14124,3220,322117,76884,48603,40188,5285,3297,13267,54888,5056,15447,10604,326,91914,12880,24109
2021-12-06,298211,7537,23043,314794,16977,13713,3082,313256,74925,46757,38111,5048,3176,12903,53411,4959,14868,10369,319,89794,12602,23586
2021-12-07,343985,8553,26122,361893,19465,15707,3581,358209,85496,54059,44711,5879,3667,14754,61037,5622,17182,11791,363,102204,14322,26807
2021-12-08,358609,9090,27798,378783,20439,16511,3701,377297,90277,56203,45688,6060,3819,15541,64337,5983,17874,12502,385,108241,15195,28439
2021-12-09,376532,9582,29309,398041,21492,17366,3879,396990,95038,58978,47771,6348,4009,16353,67705,6308,18759,13172,406,114018,16012,29967
2021-12-10,373413,9465,28945,394420,21282,17193,3854,392873,94004,58523,47574,6310,3976,16183,66993,6230,18612,13018,401,112710,15823,29613
2021-12-11,339761,8259,25188,355812,19067,15366,3573,349616,83200,53564,45167,5881,3626,14399,59522,5421,17012,11418,351,99109,13858,25943
2021-12-12,293717,7164,21852,307800,16503,13302,3084,302768,72083,46284,38918,5075,3134,12470,51553,4703,14701,9900,304,85911,12016,22495
2021-12-13,271018,6676,20376,284581,15283,12326,2833,280826,66945,42648,35562,4657,2890,11566,47835,4385,13551,9214,283,79911,11188,20942
2021-12-14,316711,7612,23196,330920,17700,14255,3347,323963,76981,50008,42566,5517,3382,13342,55131,4992,15877,10539,323,91537,12785,23936
2021-12-15,328980,8000,24400,344552,18464,14881,3459,338598,80582,51861,43716,5693,3511,13945,57647,5251,16472,11060,340,95998,13423,25129
2021-12-16,315698,7511,22872,329194,17578,14149,3350,321218,76227,49916,42839,5530,3373,13228,54642,4922,15843,10412,319,90495,12627,23641
2021-12-17,313933,7456,22702,327242,17469,14060,3334,319136,75715,49649,42668,5504,3354,13142,54284,4885,15758,10338,317,89864,12537,23472
2021-12-18,296549,7036,21422,309061,16496,13276,3151,301308,71476,46906,40343,5202,3168,12408,51250,4610,14887,9758,299,84819,11832,22153
2021-12-19,252177,5926,18032,262323,13980,11244,2690,254959,60406,39938,34609,4446,2696,10499,43351,3880,12672,8229,252,71573,9975,18677
2021-12-20,250899,6207,18953,263693,14171,11432,2618,260588,62156,39458,32776,4300,2675,10733,44395,4079,12539,8563,263,74246,10399,19465
2021-12-21,268374,6129,18611,277628,14727,11827,2896,267377,63110,42662,37780,4802,2873,11009,45412,4005,13525,8542,261,74435,10343,19371
2021-12-22,264233,5971,18118,272796,14447,11594,2863,261846,61718,42061,37534,4753,2830,10781,44455,3898,13330,8334,255,72669,10087,18893
2021-12-23,258553,6038,18363,268626,14301,11499,2765,260558,61681,40982,35687,4574,2765,10729,44292,3952,13001,8391,257,73011,10169,19041
2021-12-24,223231,5215,15861,231944,12349,9929,2387,225007,53268,35381,30801,3948,2387,9265,38249,3413,11224,7247,222,63057,8782,16445
2021-12-25,228241,5584,17038,239337,12839,10351,2393,235665,56130,35950,30149,3936,2435,9706,40132,3667,11420,7714,237,66931,9364,17530
2021-12-26,226233,5334,16233,235485,12556,10101,2410,229113,54305,35814,30957,3982,2418,9435,38961,3493,11364,7403,227,64378,8975,16804
2021-12-27,242045,5415,16418,249414,13188,10578,2633,238640,56174,38578,34674,4376,2593,9825,40499,3533,12223,7568,231,66033,9157,17151
2021-12-28,270188,6344,19303,281015,14974,12044,2883,273056,64687,42795,37108,4766,2888,11244,46426,4154,13578,8810,270,76636,10679,19996
2021-12-29,272186,6484,19746,283894,15162,12205,2887,277129,65775,43029,36891,4764,2908,11412,47144,4249,13658,8987,276,78103,10899,20406
2021-12-30,268906,6428,19582,280668,14999,12076,2848,274292,65132,42490,36326,4698,2872,11296,46668,4214,13488,8906,273,77382,10802,20224
2021-12-31,255801,6160,18774,267380,14306,11523,2701,261924,62255,40380,34316,4451,2731,10787,44576,4040,12821,8526,262,74049,10344,19366
2022-01-01,225546,4996,14737,228708,12840,9641,2248,227565,55247,35844,27985,3818,2059,9544,39615,3661,11549,6975,239,67566,9463,13760
2022-01-02,249098,5431,16004,251770,14097,10576,2500,249223,60381,39676,31414,4256,2276,10452,43360,3975,12777,7598,260,73665,10301,14981
2022-01-03,237746,5071,14923,239233,13347,10000,2409,235136,56806,37983,30639,4113,2175,9860,40875,3707,12224,7114,243,69066,9638,14018
2022-01-04,304605,6659,19627,308042,17256,12947,3054,305195,73968,48499,38309,5196,2783,12799,53103,4875,15619,9313,319,90278,12628,18364
2022-01-05,321597,7106,20958,325940,18291,13732,3208,324054,78647,51126,40004,5452,2937,13591,56407,5206,16471,9925,340,96148,13462,19577
2022-01-06,312992,7031,20760,318313,17912,13461,3099,318191,77390,49640,38258,5254,2856,13346,55422,5157,16001,9801,336,94852,13302,19341
2022-01-07,345197,7716,22776,350704,19719,14814,3426,350002,85073,54787,42418,5812,3150,14680,60951,5658,17657,10762,369,104189,14604,21236
2022-01-08,347986,7753,22880,353294,19853,14913,3459,352205,85571,55256,42911,5871,3176,14772,61327,5683,17806,10818,371,104747,14678,21343
2022-01-09,307652,6850,20214,312304,17548,13180,3059,311276,75621,48856,37963,5192,2808,13055,54199,5021,15744,9559,327,92558,12969,18858
2022-01-10,281064,6187,18244,284641,15963,11982,2809,282649,68565,44706,35097,4776,2567,11854,49193,4532,14401,8646,296,83774,11726,17052
2022-01-11,312061,6398,18776,311563,17271,12911,3215,302349,72666,50122,41730,5514,2861,12677,52479,4663,16111,9022,307,87797,12204,17755
2022-01-12,316290,6455,18936,315503,17477,13061,3265,305721,73431,50832,42470,5603,2900,12818,53055,4703,16337,9107,310,88657,12318,17921
2022-01-13,304964,6099,17867,303022,16731,12490,3173,291738,69886,49140,41680,5458,2799,12231,50589,4437,15784,8628,293,84102,11661,16968
2022-01-14,355645,7858,23178,360451,20228,15186,3548,358368,86976,56539,44238,6029,3248,15030,62381,5758,18215,10976,376,106330,14888,21650
2022-01-15,365720,8154,24063,371352,20870,15677,3634,370292,89974,58066,45065,6168,3338,15531,64478,5978,18712,11376,390,110148,15436,22445
2022-01-16,310046,6837,20164,314107,17621,13228,3096,312091,75725,49304,38645,5263,2832,13089,54321,5009,15883,9552,327,92547,12956,18840
2022-01-17,290701,6478,19117,295146,16586,12459,2889,294252,71493,46159,35841,4904,2654,12341,51236,4749,14875,9038,310,87516,12263,17832
2022-01-18,315026,6540,19209,315293,17513,13101,3229,307196,73952,50515,41651,5530,2886,12881,53346,4771,16243,9207,314,89529,12460,18126
2022-01-19,297539,5799,16957,294211,16178,12060,3127,280956,67075,48099,41551,5393,2734,11778,48671,4211,15439,8233,279,80382,11116,16177
2022-01-20,283541,5421,15829,279374,15317,11405,3002,265184,63148,45944,40211,5187,2608,11115,45905,3931,14740,7717,262,75438,10411,15154
2022-01-21,282018,5390,15738,277856,15232,11342,2986,263714,62796,45699,40006,5160,2594,11054,45650,3908,14661,7673,260,75013,10352,15068
2022-01-22,302140,6224,18273,301941,16751,12525,3107,293463,70575,48498,40229,5326,2769,12305,50946,4538,15591,8771,299,85336,11867,17265
2022-01-23,269875,5654,16617,270590,15052,11266,2756,264415,63729,43222,35381,4715,2471,11087,45933,4127,13902,7950,271,77264,10763,15656
2022-01-24,263753,5703,16797,266134,14881,11159,2657,262736,63587,42059,33539,4528,2411,11018,45696,4172,13541,7987,273,77476,10825,15744
2022-01-25,332629,7260,21396,336272,18832,14129,3337,332989,80687,52972,41901,5680,3040,13965,57936,5315,17059,10156,347,98455,13769,20024
2022-01-26,328503,6975,20517,330250,18411,13791,3335,324108,78253,52516,42525,5697,3006,13591,56331,5096,16898,9790,334,95073,13261,19289
2022-01-27,330412,7092,20877,332894,18592,13935,3339,327854,79270,52743,42324,5696,3022,13749,57006,5186,16977,9941,340,96473,13470,19592
2022-01-28,321457,6852,20162,323422,18042,13517,3258,317812,76772,51362,41455,5563,2941,13327,55245,5008,16529,9613,328,93332,13023,18942
2022-01-29,286287,5816,17056,285320,15793,11800,2961,276067,66269,46038,38599,5083,2626,11574,47900,4236,14794,8210,279,79950,11103,16154
2022-01-30,277142,5941,17487,279151,15587,11682,2802,274809,66433,44247,35546,4781,2535,11524,47780,4344,14242,8329,285,80834,11285,16414
2022-01-31,261445,5639,16605,263669,14737,11049,2637,260087,62924,41706,33329,4495,2391,10907,45231,4125,13426,7900,270,76639,10706,15571
2022-02-01,367092,8006,23592,371251,20755,15593,3687,344599,83485,58731,46341,6278,3357,15410,63929,5860,18798,11201,383,108600,15186,22085
2022-02-02,344415,7243,21293,345775,19215,14407,3515,317192,76481,55380,45049,6011,3155,14183,58763,5289,17706,10181,347,98925,13784,20051
2022-02-03,314314,6331,18554,312904,17268,12915,3265,283091,67872,50828,42750,5611,2886,12656,52358,4608,16230,8948,304,87186,12096,17601
2022-02-04,344297,7371,21695,346893,19334,14510,3487,320060,77353,55226,44270,5950,3152,14312,59334,5389,17666,10337,353,100334,14005,20370
2022-02-05,321360,6731,19781,322368,17903,13419,3285,295332,71172,51701,42195,5621,2945,13205,54704,4913,16528,9465,323,91999,12814,18640
2022-02-06,281868,5893,17318,282654,15693,11762,2883,258802,62354,45358,37070,4935,2583,11572,47935,4301,14499,8290,283,80578,11221,16324
2022-02-07,302801,6561,19325,305823,17078,12826,3050,283263,68566,48490,38478,5198,2770,12667,52537,4800,15517,9186,314,89103,12452,18109
2022-02-08,379417,8371,24685,384624,21543,16197,3792,358355,86947,60604,47336,6445,3468,16026,66510,6132,19405,11695,400,113307,15861,23066
2022-02-09,405947,9133,26966,413193,23219,17476,4020,387445,94244,64659,49610,6816,3706,17329,71962,6699,20716,12729,436,123185,17276,25120
2022-02-10,439605,10159,30046,450000,25402,19149,4299,425702,103908,69742,52149,7260,4008,19042,79149,7464,22364,14113,485,136372,19173,27874
2022-02-11,423095,9506,28065,430525,24187,18204,4193,403517,98136,67404,51782,7110,3863,18047,74944,6972,21594,13251,454,128246,17983,26149
2022-02-12,414391,9196,27129,420585,23580,17734,4130,392607,95330,66135,51386,7015,3786,17558,72883,6739,21180,12838,440,124342,17416,25325
2022-02-13,371045,8282,24441,377044,21160,15919,3688,352631,85687,59168,45731,6260,3389,15771,65476,6071,18952,11554,396,111865,15677,22796
2022-02-14,326376,7087,20879,329782,18423,13838,3285,305674,74013,52249,41382,5595,2985,13669,56698,5186,16721,9921,339,96214,13448,19559
2022-02-15,375914,8042,23668,378692,21103,15838,3808,349314,84415,60304,48370,6499,3441,15620,64756,5879,19290,11279,385,109481,15281,22226
2022-02-16,355662,7550,22208,357730,19910,14935,3615,329146,79460,57116,46111,6175,3257,14718,60999,5516,18266,10599,362,102929,14355,20881
2022-02-17,335588,6922,20322,335629,18593,13925,3452,305973,73589,54100,44688,5917,3078,13680,56642,5047,17287,9754,332,94891,13197,19199
2022-02-18,330495,6812,19996,330485,18306,13709,3401,301207,72435,53285,44041,5830,3031,13467,55758,4967,17026,9599,327,93392,12987,18895
2022-02-19,321688,6636,19483,321737,17824,13349,3309,293321,70547,51859,42832,5672,2950,13114,54300,4839,16571,9351,319,90971,12652,18406
2022-02-20,271424,5568,16341,271170,15009,11237,2798,246780,59310,43788,36321,4800,2490,11033,45675,4059,13989,7852,267,76413,10621,15453
2022-02-21,263801,5594,16454,265281,14762,11073,2682,244006,58899,42370,34234,4583,2416,10911,45219,4087,13550,7854,268,76283,10638,15474
2022-02-22,318147,6729,19788,319764,17786,13340,3239,293868,70910,51117,41391,5535,2914,13140,54453,4915,16346,9451,323,91801,12799,18617
2022-02-23,298829,6059,17767,297873,16456,12312,3096,270069,64807,48282,40406,5316,2743,12074,49963,4413,15420,8557,291,83339,11570,16835
2022-02-24,288425,5779,16933,286851,15817,11826,3002,259098,62078,46672,39402,5162,2649,11583,47911,4205,14901,8175,278,79677,11049,16077
2022-02-25,300742,6259,18386,301306,16716,12525,3082,275470,66330,48425,39722,5278,2757,12317,51013,4567,15478,8809,300,85653,11923,17344
2022-02-26,304370,6347,18646,305057,16929,12686,3117,279073,67215,48997,40130,5336,2790,12478,51684,4631,15661,8930,305,86822,12088,17584
2022-02-27,269991,5618,16503,270487,15006,11244,2767,247279,59541,43475,35667,4739,2475,11056,45792,4099,13895,7907,270,76883,10702,15568
2022-02-28,263341,5602,16481,264986,14753,11069,2674,243985,58918,42277,34070,4567,2411,10910,45220,4094,13521,7862,269,76345,10650,15491
2022-03-01,319430,6888,20282,322455,17996,13508,3227,278385,67339,51217,40831,5503,2925,13333,55287,5038,16371,9651,330,93643,13079,19023
2022-03-02,335741,7405,21835,340482,19073,14335,3358,296109,71836,53662,41951,5710,3070,14183,58857,5424,17164,10346,354,100247,14032,20405
2022-03-03,323019,6984,20569,326256,18216,13675,3260,281912,68216,51773,41180,5556,2957,13502,55993,5109,16550,9783,334,94902,13259,19283
2022-03-04,318580,6852,20171,321426,17931,13457,3223,277258,67043,51099,40829,5496,2917,13278,55057,5010,16332,9604,328,93193,13013,18927
2022-03-05,320808,6893,20291,323610,18050,13545,3246,279053,67468,51464,41154,5538,2938,13364,55412,5040,16448,9662,330,93770,13093,19043
2022-03-06,260911,5423,15928,261455,14504,10864,2678,223055,53696,42044,34542,4586,2393,10681,44236,3956,13424,7634,260,74239,10332,15031
2022-03-07,257871,5500,16183,259738,14470,10854,2618,223442,53971,41409,33318,4470,2362,10701,44357,4020,13231,7717,264,74925,10454,15205
2022-03-08,330906,7213,21254,334776,18717,14058,3327,290038,70256,52977,41844,5666,3028,13891,57625,5280,16939,10093,345,97865,13683,19900
2022-03-09,344889,7554,22265,349262,19542,14682,3461,303059,73456,55178,43402,5889,3155,14515,60223,5531,17646,10564,361,102397,14324,20830
2022-03-10,305444,6259,18366,305235,16894,12644,3153,259224,62287,49312,40960,5409,2804,12412,51381,4562,15738,8828,301,85922,11941,17373
2022-03-11,286009,5503,16074,282422,15476,11542,3026,235109,56024,46544,40449,5226,2633,11255,46489,3992,14829,7828,265,76497,10563,15375
2022-03-12,280323,5466,15981,277492,15238,11372,2951,231972,55374,45544,39223,5090,2579,11105,45892,3969,14515,7761,263,75775,10478,15249
2022-03-13,254661,5079,14876,253169,13952,10426,2657,213164,51037,41257,34964,4572,2341,10206,42208,3695,13157,7190,244,70099,9716,14138
2022-03-14,247152,5136,15085,247657,13738,10290,2537,211269,50857,39828,32727,4345,2267,10117,41898,3747,12716,7230,247,70312,9785,14235
2022-03-15,278876,5644,16547,278016,15357,11485,2893,235173,56416,45096,37811,4970,2561,11260,46592,4110,14387,7974,271,77668,10781,15686
2022-03-16,312019,6616,19459,313910,17471,13101,3176,269534,65055,50144,40542,5426,2859,12908,53494,4833,16020,9290,317,90228,12582,18301
2022-03-17,332746,7270,21425,336797,18837,14150,3343,292010,70755,53254,41978,5690,3044,13986,58022,5322,17029,10170,348,98595,13789,20053
2022-03-18,353868,7968,23528,360416,20259,15245,3506,315581,76766,56390,43258,5944,3233,15117,62777,5845,18049,11105,381,107469,15072,21916
2022-03-19,320494,6853,20166,322976,18000,13504,3250,278068,67188,51448,41309,5547,2936,13317,55206,5009,16440,9612,328,93308,13022,18941
2022-03-20,277370,5817,17097,278444,15469,11593,2836,238238,57419,44642,36415,4852,2543,11409,47263,4247,14257,8180,279,79499,11074,16109
2022-03-21,270232,5751,16920,272071,15151,11364,2746,233890,56479,43407,34987,4689,2476,11201,46427,4203,13869,8072,276,78379,10934,15903
2022-03-22,352362,7979,23568,359307,20216,15218,3482,315192,76727,56104,42812,5899,3218,15098,62713,5855,17961,11113,381,107507,15086,21934
2022-03-23,352435,7983,23582,359409,20223,15223,3482,315321,76762,56113,42803,5899,3218,15104,62740,5858,17964,11118,381,107562,15094,21946
2022-03-24,335278,7512,22174,341128,19159,14413,3330,298206,72493,53466,41205,5649,3064,14284,59309,5508,17111,10476,359,101409,14216,20671
2022-03-25,318460,7015,20685,322880,18083,13590,3187,280694,68086,50908,39840,5419,2913,13444,55791,5138,16283,9803,336,94996,13296,19335
2022-03-26,274134,5671,16653,274456,15214,11393,2819,233797,56248,44202,36446,4831,2515,11195,46358,4136,14111,7989,272,77709,10810,15726
2022-03-27,254766,5309,15597,255430,14176,10620,2612,218098,52521,41039,33647,4472,2337,10444,43257,3874,13104,7472,255,72644,10113,14711
2022-03-28,242880,5219,15364,245005,13666,10255,2458,211278,51083,38962,31154,4192,2224,10118,41954,3816,12452,7316,250,70997,9913,14418
2022-03-29,274950,5704,16750,275418,15274,11439,2824,234820,56514,44317,36465,4838,2522,11244,46566,4160,14149,8031,274,78110,10869,15812
2022-03-30,296638,6463,19043,300075,16775,12599,2984,259932,62959,47494,37530,5080,2714,12449,51642,4730,15186,9044,309,87693,12261,17831
2022-03-31,295744,6456,19027,299295,16737,12572,2972,259428,62854,47337,37340,5059,2706,12425,51546,4726,15137,9033,309,87574,12246,17810
2022-04-01,293520,5749,16882,277976,15819,12054,2980,272666,65608,47148,38937,5039,2625,11899,49275,4080,14940,7879,269,76637,10662,15511
2022-04-02,267669,5228,15350,253357,14411,10979,2720,248295,59722,43011,35598,4602,2394,10836,44866,3710,13628,7168,244,69731,9698,14110
2022-04-03,260817,5169,15192,247581,14116,10764,2635,243776,58748,41829,34224,4449,2331,10639,44074,3672,13259,7074,241,68752,9576,13930
2022-04-04,247304,4931,14498,235034,13414,10232,2492,231872,55923,39629,32267,4205,2210,10120,41931,3504,12564,6743,230,65509,9130,13281
2022-04-05,271422,5338,15678,257250,14649,11165,2751,252659,60826,43575,35875,4650,2427,11026,45666,3789,13809,7311,249,71096,9895,14395
2022-04-06,328284,6383,18735,310455,17646,13441,3343,303811,73032,52783,43839,5657,2937,13258,54888,4528,16722,8757,298,85209,11846,17234
2022-04-07,337857,6478,18993,318640,18071,13753,3460,310423,74484,54422,45684,5865,3025,13546,56052,4590,17234,8903,303,86707,12037,17514
2022-04-08,348664,6954,20446,331382,18913,14427,3513,326949,78857,55870,45482,5928,3115,14269,59126,4942,17713,9508,325,92377,12875,18728
2022-04-09,342802,6800,19985,325458,18559,14152,3462,320539,77255,54972,44948,5845,3064,13989,57954,4830,17425,9304,317,90423,12596,18323
2022-04-10,311061,6490,19138,298351,17155,13119,3073,298692,72465,49534,38810,5156,2773,13038,54108,4626,15726,8823,302,85489,11967,17402
2022-04-11,286782,5836,17180,273665,15670,11967,2865,271759,65717,45828,36694,4822,2560,11861,49183,4152,14538,7958,272,77227,10784,15685
2022-04-12,381405,8076,23837,366941,21150,16189,3742,369139,89727,60607,46855,6267,3397,16114,66907,5762,19250,10959,376,106094,14872,21624
2022-04-13,375248,7748,22832,359146,20615,15756,3724,358337,86818,59844,47320,6257,3347,15641,64887,5519,18993,10547,361,102256,14299,20796
2022-04-14,393004,8365,24699,378516,21837,16719,3847,381439,92780,62403,48009,6437,3500,16652,69151,5970,19824,11345,389,109792,15397,22388
2022-04-15,387155,8173,24120,372243,21445,16412,3804,374110,90901,61547,47711,6372,3449,16331,67801,5830,19547,11096,380,107433,15055,21892
2022-04-16,367120,7642,22532,351953,20229,15468,3630,352093,85395,58480,45912,6093,3273,15369,63776,5446,18565,10392,356,100707,14094,20495
2022-04-17,311633,6478,19098,298674,17163,13123,3084,298660,72423,49651,39028,5176,2778,13037,54095,4616,15761,8811,302,85391,11949,17376
